name,position,address,postalCode
Braun Hall,40.44903951574362; -79.92527953023216,,15232
North Side,40.45445027979724; -80.00526642208295,,15212
ll Things Aquatic Dive Center,40.3815285; -79.99861949999999,2544 Library Rd Suite 104; Route 51,15234
The Doner Kebab House,40.43675780296326; -79.954385,424 Semple St,15213
Figleaf Boutique,40.42883866890941; -79.98384399982982,1406 E Carson St,15203
dy Warhol Museum,40.44860254746484; -80.00245895097605,117 Sandusky St; at E General Robinson St,15212
rmstrong Park,40.38011991010702; -80.01643754488734,Pearce & Highview,15234
Broadway Auto,40.47304698132927; -80.07531803483243,814 Broadway,15140
The Chocolate Moose,40.4380548494998; -79.92167212096871,5830 Forbes Ave,15217
Federated Investors,40.44457082458592; -79.99390187843933,1001Liberty Ave,15222
Celtic Cross,40.37928432847215; -80.04776470666626,,15228
Homestead Police Department,40.40800790070086; -79.91105209435858,221 E 7th Ave,15120
Pit Stop Beer Express,40.39615442773677; -79.99780182659578,1632 Saw Mill Run Blvd,15210
Environmental Charter School,40.43571009544859; -79.89700413208031,829 Milton St,15218
The Eye Gallery,40.383833; -80.043987,514 Washington Rd; Shady Drive,15228
Browns Hill and Imogen Bus Stop,40.4153960576447; -79.92424657479602,,15217
Donahue Pavilion,40.4491286981637; -79.9503563852376,,15213
SEIber Cafe,40.44649181123228; -79.94948764080335,,0
Bruegger's Bagel Bakery,40.44150422361915; -79.95707126531296,3714 Forbes Ave,15213
Mt. Lebanon Dermatology PC,40.38294399999999; -80.043616,607 Washington Rd,15228
Brugge On North,40.455454; -80.007366,,15212
Boundary Street Playground,40.43856532949985; -79.95034545768829,45 Boundary St,15213
Starbucks,40.450094; -80.015519,808 Ridge Ave; Galveston Ave,15233
West End Dump,40.43952986356093; -80.04477931632034,Hassler Street,15220
The Black Bean,40.44026804783598; -79.95644663516227,239 Atwood St,15213
Pittsburgh Marriott City Center,40.439652649501554; -79.99211575855952,112 Washington Place,15219
Siegel and Company PC,40.42826; -79.97234,2306 E Carson St,15203
Schenley Annex,40.44897919037938; -79.95031267503214,147 N Craig St; Bayard St,15213
cardinal wright school,40.457971868250446; -80.00752151029589,,15212
The Modern Cafe,40.45217364674877; -80.01649559744054,862 Western Ave,15233
highland park,40.47353518855055; -79.92109297942342,,0
Resurrection Church,40.39228111104669; -79.88143107892083,101-299 Majka St,15122
ida Massage,40.4559100985793; -79.9371505889243,5430 Centre Ave; South Negley and South Aiken,15232
Trinity Hall,40.43648612162063; -79.99332385396572,Forbes Ave; Duquesne University,15282
Carnegie Library Of Pittsburgh - Allegheny Branch,40.456372221755416; -80.00680206409258,1230 Federal St,15212
North Way Christian Community,40.39665952463144; -80.03508998107141,2865 Espy Ave; Potomac,15216
Milton Hall M117,40.44899; -80.013806,,0
Sherwin-Williams Paint Store,40.36489468440005; -80.01777291297913,3603 Library Rd,15234
llegheny Landing,40.44705341216012; -80.00308772196603,,1
Phillips Park Disc Golf Course,40.391062223842106; -79.99133053592512,2200 Spokane Ave,15210
ibermann Hall,40.43883413250886; -79.99429696144938,,15219
Suntan Seekers,40.36720746623079; -80.01461946883525,,1
Delta Foundation of Pittsburgh,40.4370153706934; -79.9997489135116,911 Galveston Ave,15233
lero Gas,40.456072; -80.016121,,1
Roselawn Terrace,40.44222450169548; -79.94212755380663,Roselawn Ter; Margaret Morrison St,15213
Hillel Academy of Pittsburgh,40.43511564213468; -79.92478784336262,Beacon St; Munhall Dr,15217
ita Stitch,40.36507; -79.984549,,1
Bloomfield Tobacco Outlet,40.46314053333333; -79.951725,4501 Liberty Ave; at Ella St,15224
Commonwealth Press,40.38093844315942; -80.04450096572087,691 Washington Rd; Alfred Street,15228
Scaife Galleries,40.443558; -79.949334,Carnegie Museum Of Art,0
Tiki Lounge,40.42863578794068; -79.9774313920172,2003 E Carson St; at S 20th St,15203
Charles L. Cost Sports Center,40.44547756889592; -79.96523297574001,Charles L. Cost Sport Center Robinson Street PIttsburgh; PA 15213,15213
PNC Plaza Courtyard,40.4422826093082; -79.99973492890585,Wood St; Oliver Ave,15222
Spoon,40.45999592835547; -79.9250397459026,134 S Highland Ave,15206
Brookline Taco Cart,40.39474475603627; -80.02143842253003,,0
NRG Energy,40.45008996; -80.00620947,1-103 S Commons,15212
Redbox,40.49733334998598; -80.06008176356183,661 Lincoln Ave,15202
Tessaro's,40.46265908292747; -79.95081689014941,4601 Liberty Ave; at Taylor St.,15224
Chengdu Gourmet,40.42947309719544; -79.92245473601665,5840 Forward Ave,15217
The Original Pancake House,40.39160489290104; -80.07386871295468,2229 Swallow Hill Rd,15220
Thomas Jefferson Elementary School,40.38165764913086; -80.06117858971278,,15243
City Cafe,40.46367414550823; -79.96420595510381,,15201
Bus Stop @ 7th St. & Penn Ave.,40.443448397977086; -80.00039430352302,139 7th St; @ Penn Ave.,15222
Howlers Coyote Cafe,40.46298280235092; -79.95148814469934,4509 Liberty Ave,15224
Brookline Blvd,40.38337895818406; -80.00094249992799,,0
Pittsburgh Chess Club,40.442824959754944; -79.92650806903839,5604 Solway St #208,15217
PNC Bank,40.39533569918519; -80.03414922134125,2882 W Liberty Ave,15216
CVS Pharmacy,40.4439908949245; -79.92771527423186,5600 Wilkins Ave,15217
Rite Aid,40.4564358346772; -80.01582026481628,802 Pennsylvania Ave,15233
Carnegie Mellon University,40.44379301156473; -79.94335701010415,5000 Forbes Ave,15213
McNeilly Automotive Service,40.379657; -80.00636921,75 McNeilly Rd,15226
Pitaland,40.395010728018846; -80.02185644912154,620 Brookline Blvd,15226
Southminster Child Care Center,40.37791834722152; -80.04584008115977,,0
Packs & Dogs,40.4299742321536; -80.0072875039311,223 Shiloh St; btwn Virginia Ave. & Beam Way,15211
Mahla Antiques,40.45025635045865; -79.9863880024955,Smallman St.; 17th,0
Bluebird Kitchen,40.438984651530745; -80.00576922623746,11 Stanwix St,15222
llegheny,40.45242078467091; -79.9996475579772,,0
PNC Park Media Lunchroom,40.445249; -80.002441,,0
Walgreens,40.446667417383104; -79.89443555474281,7628 Penn Ave,15221
Washington Blvd and Larimer Ave,40.46738432601845; -79.90874111652374,,0
The Universe,40.42861357548135; -79.9774839726996,,0
Cervones Barber Shop,40.47052477461024; -79.92511556986496,754 Mellon St,15206
The Laundry Room,40.47544858560819; -79.92719237850835,,15206
The Cheesecake Factory,40.42814924789094; -79.96540546417236,415 S 27th St; at SouthSide Works Town Sq,15203
Osceola Parklet,40.45675313; -79.942582,Osceola St; at Cypress St,15224
Butler Street Tattoo,40.48024368286133; -79.9547348022461,,0
Suds & Subs,40.46580180934763; -80.06141323228876,700 Chartiers Ave,15136
Target,40.46084635817831; -79.92125607516755,6231 Penn Ave; Penn Circle E,15206
Bob's Diner,40.36610943698219; -80.01385186569026,1230 Grove Rd,15234
Olympia Road - Chatham Village,40.430699615031536; -80.01697258704525,,15211
North Side Common Ministries,40.45797012102727; -80.01612634538081,,15212
St. Vincent de Paul Thrift Store,40.36675566430521; -80.01412347052678,3423 Library Rd; Grove Rd,15234
on's Caribbean Restaurant,40.421771; -79.992761,823 E Warrington Ave; Allen,15210
Pierogies Plus,40.46881599264878; -80.06000573495294,342 Island Ave,15136
Brightside Academy,40.437329822834535; -80.00055402709272,5919 Penn Ave,15206
Petersen Sports Complex,40.44492089647174; -79.96484511298402,,1
Pomponnee Salon & Spa,40.38170430032491; -80.0442368586669,659 Washington Rd,15228
Dillworth Park,40.424594118946345; -80.0145812506118,,15211
St. Marks Lutheran Church,40.392384838152495; -80.01800444475157,,15226
376 Parkway West,40.43007997564238; -80.02782558725919,,0
Public Safety Building,40.38332322998588; -80.0437532351697,555 Washington Rd,15228
Duquesne University - Liebermann Hall,40.43894912593827; -79.99432256443019,600 5th Ave,15219
vis Car Rental,40.44840036392112; -79.9856400489807,115 Rental Car Access Road; at Pittsburgh International Airport,15231
Carson Street Live,40.43171145955363; -80.00156002509819,7 East Carson St,0
Tim's Place,40.455045; -80.014065,,15212
Howard Hanna,40.3804062; -80.04426289999999,701 Washington Rd; Alfred St,15228
Shell,40.49126665182666; -80.06124183667811,4501 Ohio River Blvd,15202
Espresso A Mano,40.46609857963979; -79.9649362451045,3623 Butler St; at 37th St,15201
Saint John Of God,40.474595; -80.046789,,0
Steel Valley Middle School,40.39229953951446; -79.8976916176032,3113 Main St,15120
Presston,40.46732482873431; -80.06295203525468,200-298 Nichol Ave,15136
valon Arms,40.49983952883351; -80.06434348243071,841 California Ave,15202
Michael's Lounge,40.46954315; -80.07660795,331 Singer Ave,15136
Bennedum,40.44170379638672; -80.00066331666666,,15222
Homestead United Presbyterian Church,40.40689174059215; -79.90876558709726,908 Ann St,15120
Greentree,40.42067338689746; -80.0464985207758,Greentree Commons,15220
Nico's Recovery Room,40.46358092441002; -79.94892383754801,178 Pearl St,15224
Mindful Brewing Company,40.36435477029416; -80.02227176518167,3759 Library Rd,15234
ldi,40.3837941; -80.0143627,3089 Sussex Ave; at McNeilly Rd.,15226
The Treehouse,40.44080691025166; -79.89253520965576,512 S Trenton Ave,15221
The Manor,40.43724667317937; -79.92267251014708,1729 Murray Ave,15217
3 Brothers Plumbing,40.3782947253171; -79.99267944381273,2700 Saw Mill Run Blvd,15227
Propel School Board,40.420105; -79.957484,,0
First Commonwealth Bank,40.36991479; -80.0337088,301 Mount Lebanon Blvd,15234
Margaret Morrison A11,40.44229951779581; -79.9412423345706,,15213
Wines and spirits,40.45346956048061; -80.000937994617,416 E Ohio St,15212
Port Authority South Hills Junction,40.42101853381901; -80.00705193258658,W. Warrington Ave.,15210
30th Street Bridge,40.464; -79.9791,30th St Bridge,15212
Bair's Cave,40.44839351666667; -79.95126241666667,144 N Dithridge St,15213
Dormont Presbyterian Church,40.396257026324655; -80.03509109755373,2865 Espy Ave; Potomac Ave,15216
Pittsburgh Classical Academy,40.44903220388248; -80.0485396906156,,1
Fort Pitt Commons Building,40.43699732396917; -79.99970196251212,445 Fort Pitt Blvd,15219
Tunnel Park,40.42920270651558; -79.96880026969882,,15203
Penn Waste,40.47573913142159; -80.06009267740303,,1
City Pool,40.451111; -80.001508,,0
llegheny City Historic Gallery,40.453423; -80.00052,433 E Ohio St,15212
West End Playground,40.43974015411609; -80.03439787078732,,0
CE Cash Express,40.49787961160523; -80.05964116891846,656 Lincoln Ave,15202
Winchester Thurston School,40.45141266820689; -79.94294693540603,555 Morewood Ave,15213
Woods Run,40.47118; -80.022,,0
rlington Elementary School,40.417612090883786; -79.9715095572188,,15210
tern Lounge,40.43714868233712; -80.00071406364441,14 Smithfield St,15222
Pittsburgh Water and Sewer Authority (PWSA),40.445665883096176; -79.99144115433256,1200 Penn Ave,15222
wrenceville Tree Park,40.477493; -79.95368,,0
sian Express,40.40172576904297; -80.01439666748047,,15226
Tad's on E. Carson,40.42878330073445; -79.98713217165816,1109 E Carson St; btwn S 11th & S 12th St.,15203
Ralph Schugar's Chapel,40.45703215669052; -79.93608384182248,5509 Centre Ave,15232
Forbes Tobacco,40.44178675892797; -79.9569833278656,3801 Forbes Ave; Oakland Ave,15213
Zipcar Chatham University,40.45945711666667; -79.92150211666667,5701 Woodland Rd,15232
Western PA School For The Blind,40.44926526542985; -79.95385859438692,201 N Bellefield Ave,15213
Pittsburgh Appraisal Group,40.43627; -79.98168659,55 Miltenberger St,15219
Gateway View Plaza,40.44262435793334; -80.02360621864652,1600 W Carson St,15219
UPP Department of Urology,40.43519914983722; -79.98592377223385,,0
St. Ann Hall,40.43621839874076; -79.98783932935386,ickroy & Stevenson St.; Duquesne University,15219
Rankin Bridge,40.405747635243486; -79.88064914134793,,0
PNC Bank,40.399229803051135; -80.04391103982925,3149 Banksville Rd,15216
Hanini Market and Subs,40.43899919401082; -79.87950082882192,1105 Franklin Ave,15221
Duquesne University Penthouse @ Assumption Hall,40.435279846191406; -79.98694610595703,,0
The Smiling Moose,40.42882459995192; -79.98500877440402,1306 E Carson St; btwn S 13th & S 14th,15203
Carmi Family Restaurant,40.45177668921146; -80.01720739378128,917 Western Ave; btwn Allegheny & Galveston Ave.,15233
First Presbyterian Church Of Castle Shannon,40.3671152; -80.02202403333334,,1
Pittsburgh SIDELINE,40.4466972895597; -80.01567865287727,Heinz Field,15212
llegro Hearth Bakery,40.4337383825962; -79.92298975225398,2034 Murray Ave,15217
Mt Oliver Dental,40.41646957397461; -79.98710989952087,145 Brownsville Rd,15210
The Stoop,40.47582244873047; -80.05886840820312,,0
Bado's Pizza Grill & Ale House,40.3886271; -80.049866,307 Beverly Rd,15216
Pittsburgh Public Schools Data Center,40.43078633333333; -79.98539766,8 S 12th St,15203
Family Denistry,40.471041798591614; -80.0736613,,0
Joseph Tambellini Restaurant,40.47651121413752; -79.92151533884831,5701 Bryant St; at Mellon St,15206
Troy Hill Cemetary,40.468373385617326; -79.97952260387504,,15212
The Mansions on Fifth,40.44785236014346; -79.93840586867613,5105 5th Ave,15232
Bloomfield Bridge,40.46296126803392; -79.95425743301433,4401-4405 Bloomfield Bridge,15224
Tender Care Learning Center,40.39185195029795; -80.0756135389462,2220 Swallow Hill Rd,15220
Southside Slopes,40.42201809678179; -79.98540492371853,,0
Wightman Playground,40.44335742700464; -79.92797185217673,Wightman at Wilkins; Solway,15217
Pittsburgh Light Rail - The T,40.43169578432572; -80.01439015924224,,15211
Heth's Woods,40.477928310698026; -79.92594629923072,Heths Ave; Pittsburgh; PA 15206,15206
PNC Park Home Plate,40.447472; -80.006812,West General Robinson St; Mazeroski Way,15212
irginia Manor Biking Circuit,40.388660699444365; -80.05927414151945,Osage Rd; Cochran Rd,15243
The Chalet,40.437272; -79.954975,,15213
ldi,40.46420097851685; -79.9393397569657,5200 Penn Ave; Pacific Ave,15224
Pittsburgh Mirror & Glass,40.45769; -79.99251,1000 Vinial St,15212
Baptist Homes Residence,40.37317636259899; -80.03300594203085,489 Castle Shannon Blvd,15234
Shadyside Testing Center,40.454656870000136; -79.9409964387484,,0
Synod Hall,40.44792248743262; -79.95014329777949,125 N Craig St,15213
Murray Avenue News & Toys,40.43504185876163; -79.92274357555877,,15217
Pittsburgh Furniture,40.458013; -80.029695,1200 Chateau St,15233
5/3 Bank,40.40575942330139; -79.91249516654237,116 W 8th Ave; West Street,15120
Old kelton elementary school,40.38941192626953; -80.03426361083984,,0
Bellefield Hall Auditorium,40.44542267512056; -79.95124195060367,315 S Bellefield Ave,15213
CMOA Store,40.443782; -79.949451,,15213
William Penn Building,40.43815998673477; -80.00233417387784,,0
Co Gos,40.42842646542636; -79.97115449721196,,1
Potomac Bakery,40.39552525045461; -80.0346776302982,1419 Potomac Ave,15216
Pittsburgh Fire Station #22,40.43355239237437; -79.96351216304639,1945 Arlington Ave,15210
Josh Gibson Field,40.448361308912055; -79.97774199050052,2217 Bedford Ave,15219
os Hall,40.443542559940575; -79.95566154903379,,0
iello's Pizza,40.43318121338224; -79.92308232915994,2112 Murray Ave,15217
Shadeland BEER,40.48923700882006; -80.04730383649836,,1
Thaw Hall,40.44499962555935; -79.95749496009846,University of Pittsburgh,15213
wrenceville Garden Tour,40.475156; -79.95708,,15201
Banksville Bus Stop,40.410968856966925; -80.03390660436713,1625 Banksville Rd,0
Dinette,40.45968348244854; -79.92553643738474,5996 Penn Cir S; at S Highland Ave,15206
Sennott Square Parking Garage,40.44136215958845; -79.95579242706299,S. Bouquet Street; Sennott Street,15260
Tennis Courts @ McKinley Park,40.411904514138165; -80.00126390594674,,15210
trak 42/442,40.44475071422633; -79.99193787574768,,15222
ce's Tavern,40.47265960855007; -80.07373925667166,Broadway ave,15136
Swanson School of Engineering,40.4437659659039; -79.95831127847067,3700 5th Ave; University of Pittsburg - Benedum Hall,15213
to's Pizza,40.46429004062609; -79.92339507528449,420 N Highland Ave,15206
Clearview Commons,40.38067405401223; -80.04446625709534,Washington Rd; Alfred St,15228
Target Optical,40.4106952; -79.9100062,360 E Waterfront Dr,15120
Warhol Cafe,40.44848200929891; -80.00218391418457,117 Sandusky St,15212
dollar general,40.4896354675293; -80.0438232421875,,0
McDonald's,40.36463528878565; -79.98386821369417,4214 Brownsville Rd,15227
Metropolitan Baptist Church,40.462854341775504; -80.00579607275655,22 Sampsonia Way; Federal Street,15212
Smithfield Medical,40.438424; -79.999681,303 Smithfield St.,0
Walgreens,40.45922972240191; -79.9265520588051,5956 Centre Ave Ste 4,15206
Children's Hospital Employee Parking Garage,40.47365988485244; -79.95814191672632,44th St,15201
St. Peter's Cemetery,40.41955094996823; -79.97169528033879,,15210
Grub Hut Restaurant,40.479828; -79.972988,411 Grant Ave,15209
ce Paints & Unfinished Furniture,40.38895072; -80.04970988,294 Beverly Rd,15216
Duquesne University School of Law,40.436743340945895; -79.99151880781861,600 Forbes Ave,15219
Brandon's Synagogue,40.42321109924626; -79.92753668676197,,15217
Green Garden,40.388788469554186; -80.0498180542078,300 Beverly Rd #C,15216
ittle Tokyo,40.38174835827071; -80.04427354722777,636 Washington Rd; Near Cedar Boulevard,15228
Kelly Cars,40.3755746; -80.0287831,University Bvd,0
Bistro 19,40.38010381721389; -80.04470299079826,711 Washington Rd; at Central St,15228
West Liberty Dentistry,40.39335466441366; -80.036324699974,2985 W Liberty Ave,15216
Sharpsburg Volunteer Fire Department,40.49448668042659; -79.92502812421031,,1
lbright Methodist Church,40.45720983043438; -79.9367833162897,Centre Avenue; S Graham Street,15232
East End Food Co-Op,40.44823185782863; -79.89546892885376,7516 Meade St; N. Braddock,15208
South Side Park,40.42166217162512; -79.97750712160324,18th St and Mission St,15203
16 Brighton,40.47374614501789; -80.02891742248455,Brighton Rd; at Schimmer Street,15212
Gate B,40.44777169118979; -80.01482784748076,Heinz Field,15212
Morningside Market,40.48524010808241; -79.92582196000512,1748 Chislett St,15206
Dormont Vision Center,40.39509397; -80.034409,2893 W Liberty Ave; btw Tennessee & Illinois,15216
The Blooming Dahlia,40.388593; -80.049992,308 Beverly Rd,15216
Rockwell Hall - Duquesne University,40.43785442240058; -79.9937701304037,600 Forbes Ave; at Shingiss St,15219
Bloomfield Patio,40.461367; -79.951912,Duff's Place on Taylor St,0
Bus Stop - Smithfield and Fort Pitt,40.43689553866693; -80.00075697898865,Smithfield St.; Fort Pitt Blvd.,15222
Equity Real Estate Services Inc,40.43402892847421; -79.92292940231569,2029 Murray Ave; at Hobart St,15217
Primanti Bros. (PNC Park),40.44659; -80.00681,115 Federal St,15212
Riverview Cemetary,40.47883481975032; -79.87927663272337,,0
Mt Olivet Cemetery,40.396280991239365; -80.07454128759942,,1
Ohio Valley General Hospital,40.472164526919; -80.09105267888276,25 Heckel Rd,15136
Gino Brothers Pizzeria,40.494767442510536; -79.92264005250124,1714 Main St,15215
Stanton Avenue,40.48129784806868; -79.93555923230306,5000 Stanton Ave; Butler,15201
The Pittsburgh Agreement,40.44296; -80.000292,,15222
St Edmund's Academy,40.43786849313712; -79.92501719349734,,1
USCG MSU Pittsburgh,40.44159282136007; -80.00542477159166,,15222
Sarah Heinz House,40.45466452492999; -79.99338938693428,1 Heinz St,15212
Woodland Hall,40.4499255124801; -79.92738811125257,1035-1163 Murrayhill Ave,15217
Hyland Park Pool,40.4881624; -79.92150358333333,,15206
Plus Schools,40.44438171386719; -79.97108459472656,,15213
Benjamin Fairless Elementary School,40.40326748438738; -79.86363836656759,531 Jones Ave,15104
Spanish-American War Veteran's Memorial,40.441794924273616; -79.95051383972168,Schlenely Drive; near Frick Fine Arts Building,15213
Homecraft True Value Building Center,40.367645; -80.013021,3407 Library Rd,15234
Edgewood Police Detail; Traffic Post,40.431457821765385; -79.89294061452097,South Braddock Avenue; Monongahela Avenue- H Ramp,15218
verest ethnic restaurant,40.36778714210016; -79.98367904746713,,1
In The Blood Tattoo,40.428605291755154; -79.97739460274985,2005 E Carson St,15203
Pittsburgh Police HQ Gym,40.44985771179199; -80.02156555652618,1203 Western Ave,15233
Sharpsburg Towers,40.494457483291626; -79.92759168148041,Main Street,0
Brookline beer distributor,40.392181323301365; -80.01696314836606,Brookline Blvd,15226
The Home Depot,40.4646775; -79.9221005,400 N Highland Ave,15206
Chatham Elementary (Holy Family),40.48972829503164; -80.01348383444817,Bonvue,15214
Mendel Hall,40.438240428490616; -79.99279958844046,,15219
Elm Leaf Park,40.3832636096172; -79.95620242817084,,1
Sharpsburg,40.49500145468539; -79.92865704552102,,15215
Crawford Square Apartments,40.44244814871061; -79.98513579368591,510 Protectory Pl,15219
Squirrel Hill Farmers' Market,40.435215692728256; -79.92348141476953,,0
McDonald's,40.41205319128961; -79.90993653307669,400 E Waterfront Dr,15120
The Headgear,40.43978213656536; -80.00036269426346,312 Forbes Ave; Forbes Ave and Wood St,15222
The Sound Gallery,40.44367057395827; -80.00085436116134,131 7th St; Pittsburgh; PA 15222,15222
Henderson House,40.44120876066768; -79.93932000273801,Margaret Morrison St; at Carnegie Mellon University,15213
Thai Spoon,40.39536700418412; -80.03456529182832,1409 Potomac Ave,15216
St. Basil's Church,40.397225435345455; -79.98784621557259,1735 Brownsville Rd,15210
Crazy Mocha,40.45564028965186; -80.00662466419112,2 E North Ave; at Federal St.,15212
Carnegie Museum Parking Garage/Lot,40.44329330094416; -79.949017750278,,15213
Guys And Dolls Salon,40.497080767580094; -80.05878847323162,613 Lincoln Ave,15202
Pizza Hut,40.45387559198912; -79.9495804309845,4710 Baum Blvd,15213
Braddock Community Center,40.401622397798455; -79.86518941113576,416 Library St,15104
Bon Air Neighborhood,40.40955269647656; -79.99909056624347,,15210
IFE Pittsburgh - Northshore,40.44852974597329; -80.01991471396086,,0
PNC Bank,40.43773; -79.92241,5810 Forbes Ave; at Murray Ave.,15217
CMUWorks Service Center,40.446263; -79.949539,,0
Park Place Pub,40.47625406688736; -79.92082949448152,5719 Bryant St,15206
SciQuest - Pittsburgh,40.45816606659915; -79.97890968747052,,0
Cochran Infiniti of South Hills,40.39624684301719; -80.03202884927582,,15216
Goodwill,40.45352109921483; -80.00017724288504,,1
Walgreens Specialty Care Centers,40.4203250380031; -80.04496488288947,969 Greentree Rd; Greentree Road and Roseberry Way,15220
St. Pius X Byzantine Catholic Church,40.38887807; -79.98538965,2336 Brownsville Rd,15210
Highland Manor,40.456099; -79.92515,341 S Highland Ave,15206
Mellon Hall 322,40.43556857058861; -79.99198587840094,,15219
The Painted Moon,40.426382607530805; -79.97050401608233,,0
Skyvue Apartments,40.437505; -79.963072,,15213
Bigham Tavern,40.43245430077464; -80.01514547209969,321 Bigham St; Virginia,15211
Evergreen Ave,40.48358385104528; -79.97204487572695,,15209
Urban Impact Foundation,40.4541209345109; -80.00292390771988,801 Union Ave; E. Ohio St.,15212
East Side Bond,40.45984764974263; -79.92344903191655,,0
Crazy Mocha,40.43361525879122; -79.92302287022505,2100 Murray Ave,15217
Schorin Co. Inc.,40.450456179518014; -79.98483691758882,1800 Penn Ave,15222
South Side Democrats,40.426524007981314; -79.9862241568034,South 12th Street; near Freyburg,15203
Citizens Bank Supermarket Branch,40.45644076296891; -79.93459871629966,5550 Centre Ave,15232
Romanian Nationality Room,40.444785; -79.953528,,0
UPMC Shadyside Day Surgery,40.45441924894843; -79.9393516511402,5200 Centre Ave,15232
Schenley Quadrangle,40.44323200965612; -79.95569586753845,Fifth Ave; btwn University Pl and Thackeray Ave,15260
Breast Cancer Center,40.457557678222656; -80.00260162353516,,0
Crazy Mocha,40.46274770918848; -79.95100114070065,4525 Liberty Ave,15224
Morton's The Steakhouse,40.44198614855113; -80.001127047852,625 Liberty Ave,15222
Highlander Apts,40.469028287194895; -79.92109948928913,; Stanton and highland,0
ili Coffee Shop,40.457575851570006; -79.9658711455441,3138 Dobson St; Hancock St,15219
PNC YMCA,40.44084119727585; -80.00143972570444,236 5th Ave,15222
Phillips Park,40.39017534770338; -79.9916199794604,2229 Spokane Ave,15210
Doce Taqueria,40.42883466379271; -79.98556679341806,1220 E Carson St,15203
Commonwealth Press,40.42862567870488; -79.9778637223314,1931 E Carson St; 20th St,15203
Dormont Public Library,40.3941176246879; -80.03585548800005,2950 W Liberty Ave,15216
Katsur Dental,40.43115190520761; -79.97801755972851,,15203
William Penn Association,40.4509556768726; -80.01371314643453,709 Brighton Rd,15233
Brillobox,40.4656449389444; -79.95483061828355,4104 Penn Ave; btwn Main St. & Friendship Ave.,15224
Brentwood Civic Center,40.37585212582833; -79.97389661542384,Park Dr,15227
Shumans Market,40.43910214251188; -79.88169901397326,1105 Franklin Ave; swissvale ave,15221
Carlow University Commons,40.43881275569289; -79.96321716317757,,0
Schoolhouse Yoga - Squirrel Hill,40.43434120476893; -79.92292940231569,2010 Murray Ave; btw Beacon St & Hobart St,15217
Family,40.4190027439526; -79.987174457526,,15210
UPMC-Chatham Village,40.431954; -80.015849,404 Bigham St,15211
zing Books & Records,40.43388223920538; -79.92302656173706,2030 Murray Ave; Hobart,15217
llergy & Asthma Associates,40.44242677695794; -80.00716113693146,Gateway Towers,0
Rivers Casino Ballroom,40.44661692394232; -80.0209143266,777 Casino Dr; Pittsburgh; PA 15212,15212
Community Of The Crucified One,40.404586; -79.909766,,1
Jewish Community Center,40.43759121159189; -79.92386268059057,5738 Forbes Ave,15217
McDonald's,40.4411573; -79.9571712,3708 Forbes Ave; btwn Atwood St. & Oakland Ave.,15213
Emerson elementary,40.362765146987606; -79.86442565917969,Pennsylvania Avenue,15606
Casbah,40.45818853936788; -79.9250051926058,229 S Highland Ave,15206
Highland Drive,40.48028083578692; -79.8942418353835,,15139
Carnegie Mellon University Shuttle,40.4504725803017; -79.94117129807074,,0
Brentwood Fireworks,40.3816067; -79.9687525,,15227
Mardi Gras,40.45116495811418; -79.93475386136664,Copeland Ave; Walnut,15232
Extended StayAmerica Pittsburgh-Carnegie,40.41745528347703; -80.08856170933959,520 N Bell Ave,15106
Park,40.49484055453651; -79.92549419403076,Main St.; 16th St.,15215
Dickson Elementary School,40.42364277114136; -79.89371150819821,7301 Schoyer Ave; Tonette St,15218
Badamo's Pizza,40.455822; -80.006546,1106 Federal St,15212
Green Pepper,40.434075199837416; -79.92300496729638,2020 Murray Ave,15217
Neville Commons,40.45227; -79.949666,308 N Neville St,15213
Elysium Garden,40.426368; -80.002879,18 Haberman Ave,15211
Pittsburgh Beauty Bar,40.42638122660737; -79.9705099230252,2429 E Carson St Ste 101,15203
Soldiers & Sailors Memorial Hall & Museum,40.445081617973415; -79.95646425432405,4141 5th Ave; at Bigelow Blvd,15213
Wine And Spirits Mount Washington,40.42961752632638; -80.00733335629486,229 Shiloh St,15211
Kingdom Hall Of Jehovah's Witnesses,40.41985636220871; -80.02183695169144,325 Lowenhill St,15216
Meadowcroft Park,40.388872; -80.04794,N Meadowcroft Ave.; at Edward Ave.,15216
vels Lounge,40.4467719933944; -80.02174625293996,777 Casino Dr,15212
uterbach's Cafe,40.41359813569689; -79.98496799625528,,15210
Subway,40.44128210956893; -79.95737041631529,3707 Forbes Ave,15213
Petsburgh Grooming,40.38574914967458; -79.97875213623045,2601 Brownsville Rd; Churchview Ave,15227
Exxon,40.44705876790223; -79.89532926940748,7530 Penn Ave; at S. Braddock Ave.,15208
ynne's Cafe,40.472973; -80.074576,,1
Martin Auto Sales,40.40271516458338; -80.02064681808221,,15234
Subway,40.452077655930246; -79.95159637997833,4613 Centre Ave,15213
Pop and Beer for Less,40.472058; -80.076678,500 Pine Hollow Rd,15136
spakteka,40.465697; -79.949292,,0
CCAC Allegheny Campus,40.44942466889898; -80.01559129800759,808 Ridge Ave; at Brighton Ave,15212
Bed Bath & Beyond,40.4114110867428; -79.9069158809015,490 E Waterfront Dr,15120
Skibo Gymnasium,40.44149198944576; -79.94128133346636,Carnegie Mellon University,15213
llegheny Dwellings,40.4628150833926; -80.00563154746105,Belleau Drive,15212
Donato's - Fox Chapel,40.48827839154627; -79.88296511171032,46 Fox Chapel Rd,15238
Warrington Ave,40.42139747600813; -79.99749056034321,,15210
